,Unnamed: 0,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork
0,0,Volkswagen Amarok Cd V6 Extreme 3.0 258cv 4x4 At,43733.681462140994,https://auto.mercadolibre.com.ar/MLA-1122979008-amarok-cd-v6-extreme-30-258cv-4x4-at-0km-2023-_JM#position=1&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok CD,2022,v6 Extreme 3.0 258cv 4x4 at,Plateado,Diésel,4,Automática,3.0,Pick-Up
1,1,Volkswagen Amarok Trendline 4x2 Mt 2.0 140cv,21148.798955613576,https://auto.mercadolibre.com.ar/MLA-1122526701-amarok-20-tdi-140-cv-trendline-4x2-hard-work-2023-_JM#position=2&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok,2022,TRENDLINE 4X2 MT 2.0 140CV,Azul,Diésel,4,Manual,,Pick-Up
2,2,Renault Kangoo Ii Express Confort 5a 1.5 Dci,16266.318537859008,https://auto.mercadolibre.com.ar/MLA-1319616701-renault-kangoo-confort-15-5-asientos-oferta-stock-disponibl-_JM#position=3&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Renault,Kangoo,2023,Ii Express Confort 5a 1.5 Dci,Blanco,Diésel,3,Manual,1.5,Furgón
3,3,Fiat Cronos 1.3 Attractive Mt,10115.926892950392,https://auto.mercadolibre.com.ar/MLA-1319751166-fiat-cronos-attractive-lh2-_JM#position=4&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Attractive Mt,Gris,Nafta,4,Manual,1.3,Sedán
4,4,Fiat Cronos 1.3 Drive Cvt,12062.66318537859,https://auto.mercadolibre.com.ar/MLA-1319872838-fiat-cronos-cvt-lh2-_JM#position=5&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Drive Cvt,Blanco,Nafta,4,Automática,1.3,Sedán
5,5,Fiat Cronos 1.3 Precision Cvt,12960.835509138382,https://auto.mercadolibre.com.ar/MLA-1319872794-fiat-cronos-drive-lh2-_JM#position=6&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Precision Cvt,Plateado,Nafta,4,Automática,1.3,Sedán
6,6,Chevrolet Tracker 1.2 Turbo At,16318.276762402089,https://auto.mercadolibre.com.ar/MLA-1319782681-chevrolet-tracker-12-0-km-at-2023-stock-fisico-hmc-_JM#position=7&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
7,7,Renault Kangoo Ii Express Emotion 1.6 Sce,13534.464751958225,https://auto.mercadolibre.com.ar/MLA-1319782670-renault-kangoo-full-full-16-nafta-0km-2023-stock-fis-0km-_JM#position=8&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Renault,Kangoo,2023,Ii Express Emotion 1.6 Sce,Gris,Nafta,3,Manual,1.6,Furgón
8,8,Chevrolet Tracker 1.2 Turbo Premier At,20495.822454308094,https://auto.mercadolibre.com.ar/MLA-1319801891-chevrolet-tracker-premier-12-t-0-km-2023-entrego-ya-hmc-_JM#position=9&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo Premier At,Blanco,Nafta,5,Automática,1.2,SUV
10,10,Chevrolet Tracker 1.2 Turbo At Argentina,16863.96866840731,https://auto.mercadolibre.com.ar/MLA-1319801695-chevrolet-tracker-12t-lt-base-at-0km-okm-stock-2-nt-_JM#position=11&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At argentina,Gris,Nafta,5,Automática,1.2,SUV
11,11,Chevrolet Tracker 1.2 Premier Turbo At,19840.46997389034,https://auto.mercadolibre.com.ar/MLA-1319814462-chevrolet-tracker-12t-ltz-premier-at-0km-okm-stock-2-nt-_JM#position=12&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
12,12,Chevrolet Tracker 1.2 Premier Turbo At,20884.856396866842,https://auto.mercadolibre.com.ar/MLA-1319807938-chevrolet-tracker-12t-premier-at-0km-okm-stock-2-nt-_JM#position=13&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
13,13,Chevrolet Tracker 1.2 Turbo At Argentina,14751.697127937337,https://auto.mercadolibre.com.ar/MLA-1319820885-chevrolet-tracker-12t-lt-base-at-0km-okm-oferta-nt-_JM#position=14&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At argentina,Plateado,Nafta,5,Automática,1.2,SUV
14,14,Chevrolet Tracker 1.2 Ltz Turbo At,17754.30809399478,https://auto.mercadolibre.com.ar/MLA-1319872381-chevrolet-tracker-12t-ltz-premier-at-0km-okm-oferta-nt-_JM#position=15&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Azul,Nafta,5,Automática,1.2,SUV
15,15,Chevrolet Tracker 1.2 Premier Turbo At,19448.82506527415,https://auto.mercadolibre.com.ar/MLA-1319872378-chevrolet-tracker-12t-premier-ltz-at-0km-okm-oferta-nt-_JM#position=16&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Gris,Nafta,5,Automática,1.2,SUV
16,16,Chevrolet Tracker 1.2 Turbo At Argentina,16446.21409921671,https://auto.mercadolibre.com.ar/MLA-1319820881-chevrolet-tracker-12t-base-lt-at-0km-okm-stock-nt-_JM#position=17&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Turbo At argentina,Gris,Nafta,5,Automática,1.2,SUV
17,17,Chevrolet Tracker 1.2 Ltz Turbo At,19318.27676240209,https://auto.mercadolibre.com.ar/MLA-1319615949-chevrolet-tracker-12t-ltz-premier-at-0km-okm-stock-nt-_JM#position=18&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Gris,Nafta,5,Automática,1.2,SUV
18,18,Chevrolet Tracker 1.2 Premier Turbo At,20362.66318537859,https://auto.mercadolibre.com.ar/MLA-1319801676-chevrolet-tracker-12t-premier-ltz-at-0km-okm-stock-nt-_JM#position=19&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Premier Turbo At,Negro,Nafta,5,Automática,1.2,SUV
19,19,Jeep Compass 1.3 T270 Limited,44328.9817232376,https://auto.mercadolibre.com.ar/MLA-1319615921-jeep-compass-limited-plus-entrega-inmediata-_JM#position=20&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Jeep,Compass,2023,1.3 T270 Limited,Negro,Nafta,5,Automática,1.3,SUV
23,23,Fiat Cronos 1.3 Gse Drive Pack Conectividad,10966.057441253264,https://auto.mercadolibre.com.ar/MLA-1319827211-fiat-cronos-0km-2022-permuto-por-idea-linea-marea-stilo-l-_JM#position=24&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2022,1.3 Gse Drive Pack Conectividad,Blanco,Nafta,4,Manual,1.3,Sedán
27,27,Fiat Cronos 1.3 Drive S-design Mt,11477.806788511749,https://auto.mercadolibre.com.ar/MLA-1319819534-fiat-cronos-desing-lh2-_JM#position=28&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Drive S-design Mt,Gris,Nafta,4,Manual,1.3,Sedán
28,28,Fiat Toro 2.0 Ranch 4x4 At,15665.796344647519,https://auto.mercadolibre.com.ar/MLA-1319614312-fiat-toro-ranch-automatica-2023-roja-fisica-o-plan-nc-_JM#position=29&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Toro,2023,2.0 Ranch 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up
29,29,Volkswagen Taos 1.4 250 Tsi Highline,31997.446475195822,https://auto.mercadolibre.com.ar/MLA-1319292553-volkswagen-taos-14-250tsi-highline-automatica-at-vw-2023-22-_JM#position=30&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Taos,2023,1.4 250 Tsi Highline,Azul,Nafta,5,Automática,1.4,SUV
30,30,Fiat Pulse 1.3 Drive Gse Mt,13054.830287206267,https://auto.mercadolibre.com.ar/MLA-1319750266-fiat-pulse-drive-13-manual-impetus-plan-ahorro-2023-0km-l-_JM#position=31&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Pulse,2022,1.3 Drive Gse Mt,Gris,Nafta,5,Manual,1.3,SUV
31,31,Volkswagen Taos 1.4 250 Tsi Highline,31997.391644908617,https://auto.mercadolibre.com.ar/MLA-1319614180-volkswagen-taos-14-250tsi-highline-automatica-at-vw-2023-01-_JM#position=32&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Taos,2023,1.4 250 Tsi Highline,Azul,Nafta,5,Automática,1.4,SUV
32,32,Volkswagen Amarok 3.0 V6 Cd Highline,39422.976501305486,https://auto.mercadolibre.com.ar/MLA-1319292329-volkswagen-amarok-30tdi-v6-highline-4x4-at-258cv-financiaci-_JM#position=33&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Gris,Diésel,4,Automática,3.0,Pick-Up
33,33,Fiat Cronos 1.3 Precision Cvt,10443.864229765013,https://auto.mercadolibre.com.ar/MLA-1319266234-fiat-cronos-drive-y-precision-al-mejor-precio-plan-sgast-_JM#position=34&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Precision Cvt,Plateado,Nafta,4,Automática,1.3,Sedán
34,34,Chevrolet Tracker 1.2 Ltz Turbo At,19451.436031331592,https://auto.mercadolibre.com.ar/MLA-1319246318-chevrolet-tracker-ltz-12-t-0-km-2023-entrega-inmediata-hmc-_JM#position=35&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Negro,Nafta,5,Automática,1.2,SUV
35,35,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,23681.464751958225,https://auto.mercadolibre.com.ar/MLA-1319388878-volkswagen-amarok-20-comfortline-4x2-automatica-at-180cv-01-_JM#position=36&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Comfortline At,Blanco,Diésel,4,Automática,2.0,Pick-Up
36,36,Chevrolet Equinox 1.5t Premier 4wd,37861.35770234987,https://auto.mercadolibre.com.ar/MLA-1319258837-chevrolet-equinox-premier-15-t-0-km-2023-entrego-ya-hmc-_JM#position=37&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Equinox,2023,1.5t Premier 4wd,Blanco,Nafta,5,Automática,1.5,SUV
37,37,Renault Duster 1.6 Ph2 4x2 Privilege,18772.845953002612,https://auto.mercadolibre.com.ar/MLA-1319388195-renault-duster-16-intens-cvt-0km-2023-_JM#position=38&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Renault,Duster,2023,1.6 Ph2 4x2 Privilege,Gris,Nafta,5,Manual,1.6,SUV
38,38,Volkswagen Taos 1.4 250 Tsi Highline,32637.075718015665,https://auto.mercadolibre.com.ar/MLA-1319257496-volkswagen-taos-highline-250-autotag-my23-entrega-inmediata-_JM#position=39&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Taos,2023,1.4 250 Tsi Highline,Dorado,Nafta,5,Automática,1.4,SUV
39,39,Chevrolet Onix 1.2 Lt Tech Onstar,12709.921671018277,https://auto.mercadolibre.com.ar/MLA-1319186354-chevrolet-onix-lt-tech-12-2023-entrega-ya-dq-5-_JM#position=40&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Onix,2023,1.2 Lt Tech Onstar,Rojo,Nafta,5,Manual,1.2,Hatchback
40,40,Chevrolet Tracker 1.2 Ltz Turbo At,20078.067885117493,https://auto.mercadolibre.com.ar/MLA-1319289665-chevrolet-tracker-12t-ltz-at-0km-okm-stock-3-nt-_JM#position=41&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Blanco,Nafta,5,Automática,1.2,SUV
41,41,Peugeot 208 1.6l Feline Tiptronic,16344.647519582246,https://auto.mercadolibre.com.ar/MLA-1319263771-peugeot-208-feline-tiptronic-_JM#position=42&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Peugeot,208,2023,1.6l Feline Tiptronic,Blanco,Nafta,5,Automática,1.6,Hatchback
42,42,Volkswagen Taos 1.4 250 Tsi Comfortline,25062.66318537859,https://auto.mercadolibre.com.ar/MLA-1318928068-volkswagen-taos-14tsi-comfortline-tiptronic-150cv-financiac-_JM#position=43&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Taos,2023,1.4 250 Tsi Comfortline,Gris,Nafta,5,Automática,1.4,SUV
43,43,Fiat Pulse 1.3 Drive Gse Cvt,14621.409921671018,https://auto.mercadolibre.com.ar/MLA-1319288978-fiat-pulse-13-drive-gse-cvt-mf-_JM#position=44&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Pulse,2023,1.3 Drive Gse Cvt,Plateado,Nafta,5,Automática,1.3,SUV
44,44,Fiat Cronos 1.3 Drive S-design Mt,11475.195822454309,https://auto.mercadolibre.com.ar/MLA-1319179014-fiat-cronos-desing-13-mt-lh2-_JM#position=45&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Drive S-design Mt,Rojo,Nafta,4,Manual,1.3,Sedán
45,45,Fiat Cronos 1.3 Drive Cvt,4046.9973890339425,https://auto.mercadolibre.com.ar/MLA-1319243459-fiat-cronos-13-drive-mt-mf-_JM#position=46&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Drive Cvt,Plateado,Nafta,4,Automática,1.3,Sedán
46,46,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,29216.710182767623,https://auto.mercadolibre.com.ar/MLA-1319178961-fiat-toro-freedom-20-4x4-0km-entrega-inmediata-stock-fi-cf-_JM#position=47&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up
47,47,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,29216.710182767623,https://auto.mercadolibre.com.ar/MLA-1319263053-fiat-toro-freedom-20-4x4-0km-entrega-inemdiata-unidad-fi-fc-_JM#position=48&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up
48,48,Renault Alaskan 2.3 Bit 16v Iconic At 4x4,30443.86422976501,https://auto.mercadolibre.com.ar/MLA-1319103800-renault-alaskan-iconic-4x4-automatica-23-190-cv-2023-d-_JM#position=1&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Renault,ALASKAN,2023,2.3 Bit 16v Iconic At 4x4,Gris,Diésel,4,Automática,2.3,Pick-Up
49,49,Renault Alaskan 2.3 Bit 16v Iconic At 4x4,32112.271540469974,https://auto.mercadolibre.com.ar/MLA-1319612339-renault-alaskan-iconic-4x4-automatica-cv-23-biturbo-2023-_JM#position=2&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Renault,ALASKAN,2023,2.3 Bit 16v Iconic At 4x4,Gris,Diésel,4,Automática,2.3,Pick-Up
50,50,Fiat Cronos 1.3 Drive S-design Mt,7310.704960835509,https://auto.mercadolibre.com.ar/MLA-1319178732-fiat-cronos-s-desing-13-0km-entrega-inmediata-anti-minim-fc-_JM#position=3&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán
51,51,Fiat Cronos 1.3 Drive S-design Mt,11477.806788511749,https://auto.mercadolibre.com.ar/MLA-1319262821-fiat-cronos-desing-lh2-_JM#position=4&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Gris,Nafta,4,Manual,1.3,Sedán
52,52,Fiat Cronos 1.3 Drive S-design Mt,12506.527415143602,https://auto.mercadolibre.com.ar/MLA-1319295122-fiat-cronos-s-desing-13-0km-entrega-inemdiata-stock-fisi-fc-_JM#position=5&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Blanco,Nafta,4,Manual,1.3,Sedán
53,53,Fiat Cronos 1.3 Drive Mt,6527.415143603133,https://auto.mercadolibre.com.ar/MLA-1319262717-fiat-cronos-drive-13-0km-entrega-inmediata-7-dias-habile-fc-_JM#position=6&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán
54,54,Volkswagen Polo 1.6 Msi Trendline,14099.219321148825,https://auto.mercadolibre.com.ar/MLA-1319185026-volkswagen-polo-trendline-manual-16-msi-110-cv-2023-0km1-_JM#position=7&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Volkswagen,Polo,2023,1.6 Msi Trendline,Blanco,Nafta,5,Manual,1.6,Hatchback
55,55,Fiat Cronos 1.3 Drive Mt,11801.566579634466,https://auto.mercadolibre.com.ar/MLA-1319295020-fiat-cronos-drive-13-0km-entrega-inmediata-stock-fisico-fc-_JM#position=8&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán
56,56,Fiat Cronos 1.3 Drive Mt,3394.255874673629,https://auto.mercadolibre.com.ar/MLA-1319294911-fiat-cronos-13-drive-mt-mf-_JM#position=9&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Plateado,Nafta,4,Manual,1.3,Sedán
57,57,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline Llantas16,20624.02088772846,https://auto.mercadolibre.com.ar/MLA-1319178497-volkswagen-amarok-20tdi-trendline-4x2-manual-140cv-financio-_JM#position=10&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Volkswagen,Amarok,2023,2.0 Cd Tdi 140cv Trendline Llantas16,Blanco,Diésel,4,Manual,2.0,Pick-Up
58,58,Fiat Pulse 1.0 Impetus T3 Cvt,18276.762402088774,https://auto.mercadolibre.com.ar/MLA-1319262511-fiat-pulse-10-impetus-t3-cvt-mf-_JM#position=11&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Pulse,2023,1.0 Impetus T3 Cvt,Plateado,Nafta,5,Automática,1.0,SUV
59,59,Nissan Frontier 2.3t Xe 4x2 At L22,26370.75718015666,https://auto.mercadolibre.com.ar/MLA-1318927378-nissan-frontier-xe-4x2-at-2023-_JM#position=12&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Nissan,Frontier,2023,2.3t Xe 4x2 At L22,Blanco,Diésel,4,Automática,2.3,Pick-Up
60,60,Fiat Pulse 1.0 Impetus T3 Cvt,20365.535248041775,https://auto.mercadolibre.com.ar/MLA-1319184814-fiat-pulse-10-impetus-t3-cvt-mf-_JM#position=13&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Pulse,2023,1.0 Impetus T3 Cvt,Plateado,Nafta,5,Automática,1.0,SUV
61,61,Chevrolet Onix Plus 1.2,12271.279373368146,https://auto.mercadolibre.com.ar/MLA-1319262439-chevrolet-onix-plus-12-0km-entrega-inmediata-al-5-_JM#position=14&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Onix plus,2023,1.2,Gris,Nafta,4,Manual,1.2,Sedán
62,62,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,18276.762402088774,https://auto.mercadolibre.com.ar/MLA-1319242809-fiat-toro-freedom-20-4x4-0km-7000000-retire-ya-fv-_JM#position=15&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up
63,63,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,18276.762402088774,https://auto.mercadolibre.com.ar/MLA-1319294714-fiat-toro-20-350-multijet-freedom-4x4-at-mf-_JM#position=16&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up
64,64,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,18276.762402088774,https://auto.mercadolibre.com.ar/MLA-1319294697-fiat-toro-freedom-20-4x4-0km-7000000-retire-ya-fv-_JM#position=17&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up
65,65,Nissan Frontier 2.3bt Xe 4x4 Mt L22,32637.075718015665,https://auto.mercadolibre.com.ar/MLA-1319100898-nissan-frontier-xe-4x4-mt-2023-_JM#position=18&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Nissan,Frontier,2023,2.3bt Xe 4x4 Mt L22,Negro,Diésel,4,Automática,2.3,Pick-Up
66,66,Fiat Cronos 1.3 Drive S-design Mt,5221.9321148825065,https://auto.mercadolibre.com.ar/MLA-1319385264-fiat-cronos-s-design-2000000-retire-ya-fv-_JM#position=19&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán
67,67,Fiat Toro 2.0 Ranch 4x4 At,29637.075718015665,https://auto.mercadolibre.com.ar/MLA-1319178221-fiat-toro-ranch-20-lh2-_JM#position=20&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 Ranch 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up
68,68,Chevrolet Cruze 1.4 Ltz At Sedan,21749.086161879895,https://auto.mercadolibre.com.ar/MLA-1319255684-chevrolet-cruze-4-ltz-at-0km-okm-stock-nt-_JM#position=21&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Cruze,2023,1.4 Ltz At Sedan,Negro,Nafta,4,Automática,1.4,Sedán
69,69,Chevrolet Cruze 5 1.4 Lt At 5p,19318.27676240209,https://auto.mercadolibre.com.ar/MLA-1319294582-chevrolet-cruze-5-lt-at-0km-okm-stock-nt-_JM#position=22&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Cruze 5,2023,1.4 Lt At 5p,Plateado,Nafta,5,Automática,1.4,Hatchback
70,70,Fiat Cronos 1.3 Drive S-design Mt,5221.9321148825065,https://auto.mercadolibre.com.ar/MLA-1319262247-fiat-cronos-s-design-0km-2000000-retire-ya-fv-_JM#position=23&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán
71,71,Fiat Cronos 1.3 Drive S-design Mt,5221.9321148825065,https://auto.mercadolibre.com.ar/MLA-1319178167-fiat-cronos-s-design-0km-2000000-retire-ya-fv-_JM#position=24&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive S-design Mt,Negro,Nafta,4,Manual,1.3,Sedán
72,72,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,24527.41514360313,https://auto.mercadolibre.com.ar/MLA-1319288096-fiat-toro-freedom-lh2-_JM#position=25&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Gris,Diésel,4,Automática,2.0,Pick-Up
73,73,Fiat Cronos 1.3 Drive Mt,3368.1462140992166,https://auto.mercadolibre.com.ar/MLA-1319242637-fiat-cronos-drive-13-mt-0km-1290000-entrega-inmediata-fv-_JM#position=26&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán
74,74,Chevrolet Onix 1.2 Lt Tech,13054.569190600521,https://auto.mercadolibre.com.ar/MLA-1319242619-chevrolet-onix-12-lt-tech-0km-entrega-inmediata-al-5-_JM#position=27&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Chevrolet,Onix,2023,1.2 Lt Tech,Rojo,Nafta,5,Manual,1.2,Hatchback
75,75,Fiat Cronos 1.3 Drive Mt,3368.1462140992166,https://auto.mercadolibre.com.ar/MLA-1319294485-fiat-cronos-drive-0km-mt-13-1290000-retire-ya-fv-_JM#position=28&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Cronos,2023,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán
76,76,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,26892.95039164491,https://auto.mercadolibre.com.ar/MLA-1319255559-fiat-toro-20-350-multijet-freedom-4x4-at-mf-_JM#position=29&search_layout=grid&type=item&tracking_id=5b79ed54-8e0e-4244-9c98-339d625b8923,Fiat,Toro,2023,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up
