,Unnamed: 0,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork
549,549,Peugeot 208 1.2 Like,5744.125326370757,https://auto.mercadolibre.com.ar/MLA-1301700999-peugeot-208-like-12-0km-peugeot-plan-darc-autos-_JM#position=18&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Peugeot,208,2022,1.2 Like,Blanco,Nafta,5,Manual,1.2,Hatchback
550,550,Citroën C4 Cactus 1.6 Vti 115 At6 Feel Pk,9660.574412532636,https://auto.mercadolibre.com.ar/MLA-1301681314-citroen-c4-cactus-feel-pack-automatico-0km-citroen-plan-_JM#position=19&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Citroën,C4 Cactus,2022,1.6 Vti 115 At6 Feel Pk,Negro,Nafta,5,Automática,1.6,SUV
551,551,Audi Q5 2.0 45 Tfsi Sport 252cv,,https://auto.mercadolibre.com.ar/MLA-1301674794-audi-q5-2022-2023-0km-nueva-nuevo-2021-q3-sportback-a3-a1-pg-_JM#position=20&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Audi,Q5,2022,2.0 45 Tfsi Sport 252cv,Plateado,Nafta,5,Automática,2.0,SUV
552,552,Citroën C4 Cactus 1.6 Vti 115 Feel Pk,9138.381201044387,https://auto.mercadolibre.com.ar/MLA-1301687844-citroen-c4-cactus-feel-pack-0km-citroen-plan-darc-autos-_JM#position=21&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Citroën,C4 Cactus,2022,1.6 Vti 115 Feel Pk,Blanco,Nafta,5,Manual,1.6,SUV
553,553,Citroën C4 Cactus 1.6 Vti 115 Feel,8877.284595300262,https://auto.mercadolibre.com.ar/MLA-1302133468-citroen-c4-cactus-feel-0km-citroen-plan-darc-autos-_JM#position=22&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Citroën,C4 Cactus,2022,1.6 Vti 115 Feel,Gris,Nafta,5,Manual,1.6,SUV
554,554,Citroën Berlingo 1.6 Hdi 92 Bussines,5744.125326370757,https://auto.mercadolibre.com.ar/MLA-1301687719-citroen-berlingo-furgon-hdi-0km-citroen-plan-darc-autos-_JM#position=23&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Citroën,Berlingo,2022,1.6 Hdi 92 Bussines,Plateado,Diésel,3,Manual,1.6,Furgón
555,555,Citroën C3 1.6 Vti 115 At6 Feel,7310.704960835509,https://auto.mercadolibre.com.ar/MLA-1301700478-citroen-c3-feel-pack-automatico-0km-citroen-plan-autos-_JM#position=24&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Citroën,C3,2022,1.6 Vti 115 At6 Feel,Gris,Nafta,5,Automática,1.6,Hatchback
556,556,Audi Q5 2.0 45 Tfsi Offroad 252cv,,https://auto.mercadolibre.com.ar/MLA-1301687607-audi-q5-20t-quattro-automatica-2022-4x4-0km-bmw-x3-glc300-_JM#position=25&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Audi,Q5,2021,2.0 45 Tfsi Offroad 252cv,Blanco,Nafta,5,Automática,2.0,SUV
557,557,Volkswagen Amarok 3.0 V6 Cd Highline,36815.92689295039,https://auto.mercadolibre.com.ar/MLA-1301680969-volkswagen-amarok-v6-highline-30tdi-258cv-4x4at-2022-0km-53-_JM#position=26&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Volkswagen,Amarok,2022,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up
558,558,Volkswagen Amarok 3.0 V6 Cd Highline,36814.621409921674,https://auto.mercadolibre.com.ar/MLA-1301680484-volkswagen-amarok-v6-highline-30tdi-258cv-4x4at-2022-0km-52-_JM#position=27&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Volkswagen,Amarok,2022,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up
559,559,Fiat Cronos Presicion 1.3 Cvt,12148.825065274152,https://auto.mercadolibre.com.ar/MLA-1301660806-fiat-cronos-presicion-13-cvt-_JM#position=28&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Cronos,2022,Presicion 1.3 CVT,Gris,Nafta,4,Automática,1.3,Sedán
560,560,Citroën C3 1.2 12v Puretech 82 Feel,9895.822454308094,https://auto.mercadolibre.com.ar/MLA-1301673368-nuevo-c3-feel-12-tomo-usado-llave-x-llave-precio-de-lista2--_JM#position=29&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Citroën,C3,2022,1.2 12v Puretech 82 Feel,Blanco,Nafta,5,Manual,1.2,Hatchback
561,561,Chevrolet Onix 1.2,10556.39686684073,https://auto.mercadolibre.com.ar/MLA-1301256766-nuevo-chevrolet-onix-12-ls-manual-0km-2023--_JM#position=30&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Chevrolet,Onix,2022,1.2,Rojo,Nafta,5,Manual,1.2,Hatchback
562,562,Fiat Toro 2.0 350 Multijet Freedom 4x4 At,18276.762402088774,https://auto.mercadolibre.com.ar/MLA-1300922454-fiat-toro-freedom-20-mltj-0km-entrega-inmediata-7000000fv-_JM#position=31&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Toro,2022,2.0 350 Multijet Freedom 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up
563,563,Audi Q3 2.0 Tfsi Stronic Quattro 220cv,,https://auto.mercadolibre.com.ar/MLA-1300933372-audi-q3-2022-nuevo-2023-usado-0km-2021-sportback-q5-offroad-_JM#position=32&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Audi,Q3,2022,2.0 Tfsi Stronic Quattro 220cv,Blanco,Nafta,5,Automática,2.0,SUV
564,564,Fiat Cronos 1.3 Gse Drive,11488.250652741513,https://auto.mercadolibre.com.ar/MLA-1300920181-fiat-cronos-automatico-tomo-208-toyota-mobi-partner-ford-e-_JM#position=33&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Cronos,2022,1.3 Gse Drive,Gris,Nafta,4,Manual,1.3,Sedán
565,565,Fiat Cronos 1.3 Gse Drive,10443.864229765013,https://auto.mercadolibre.com.ar/MLA-1300582678-fiat-cronos-drive-permuta-208-kangoo-partner-mobi-toyota-e-_JM#position=34&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Fiat,Cronos,2022,1.3 Gse Drive,Blanco,Nafta,4,Manual,1.3,Sedán
567,567,Renault Kangoo Ii Express Confort 1.6 Sce,12924.281984334204,https://auto.mercadolibre.com.ar/MLA-1300096984-renault-kangoo-confort-16-2-a-oferta-entreg-inmedita-0km-jl-_JM#position=36&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Renault,Kangoo,2022,Ii Express Confort 1.6 Sce,Blanco,Nafta,3,Manual,1.6,Furgón
569,569,Renault Oroch 1.6 Sce 114 Emotion 2wd,18250.65274151436,https://auto.mercadolibre.com.ar/MLA-1300579679-renault-oroch-emotion-16-0km-2023-stock-disponible-jl-_JM#position=38&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Renault,Oroch,2022,1.6 Sce 114 Emotion 2wd,Gris,Nafta,4,Manual,1.6,SUV
570,570,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline At,32062.66318537859,https://auto.mercadolibre.com.ar/MLA-1300058050-volkswagen-amarok-dc-20-tdi-180cv-highline-4x4-at-0km-34-_JM#position=39&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Volkswagen,Amarok,2022,2.0 Cd Tdi 180cv 4x4 Highline At,Gris,Diésel,4,Automática,2.0,Pick-Up
571,571,Audi Q8 3.0 55 Tfsi Quattro,,https://auto.mercadolibre.com.ar/MLA-1299636811-audi-q8-q7-glc-400-bmw-x5-x6-quattro-4x4-2021-2022-hibrid-0k-_JM#position=40&search_layout=grid&type=item&tracking_id=17974f83-f8a4-4396-ad87-6d815852b1ac,Audi,Q8,2021,3.0 55 Tfsi Quattro,Gris,Nafta,5,Automática,3.0,SUV
