,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork,km
27,Fiat Cronos 1.3 Drive S-design Mt,$4.396.000,https://auto.mercadolibre.com.ar/MLA-1319819534-fiat-cronos-desing-lh2-_JM#position=28&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Drive S-design Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km
28,Fiat Toro 2.0 Ranch 4x4 At,$6.000.000,https://auto.mercadolibre.com.ar/MLA-1319614312-fiat-toro-ranch-automatica-2023-roja-fisica-o-plan-nc-_JM#position=29&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Toro,2023,2.0 Ranch 4x4 At,Rojo,Diésel,4,Automática,2.0,Pick-Up,0 km
29,Volkswagen Taos 1.4 250 Tsi Highline,$12.255.022,https://auto.mercadolibre.com.ar/MLA-1319292553-volkswagen-taos-14-250tsi-highline-automatica-at-vw-2023-22-_JM#position=30&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Taos,2023,1.4 250 Tsi Highline,Azul,Nafta,5,Automática,1.4,SUV,0 km
30,Fiat Pulse 1.3 Drive Gse Mt,$5.000.000,https://auto.mercadolibre.com.ar/MLA-1319750266-fiat-pulse-drive-13-manual-impetus-plan-ahorro-2023-0km-l-_JM#position=31&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Pulse,2022,1.3 Drive Gse Mt,Gris,Nafta,5,Manual,1.3,SUV,0 km
31,Volkswagen Taos 1.4 250 Tsi Highline,$12.255.001,https://auto.mercadolibre.com.ar/MLA-1319614180-volkswagen-taos-14-250tsi-highline-automatica-at-vw-2023-01-_JM#position=32&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Taos,2023,1.4 250 Tsi Highline,Azul,Nafta,5,Automática,1.4,SUV,0 km
32,Volkswagen Amarok 3.0 V6 Cd Highline,$15.099.000,https://auto.mercadolibre.com.ar/MLA-1319292329-volkswagen-amarok-30tdi-v6-highline-4x4-at-258cv-financiaci-_JM#position=33&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Gris,Diésel,4,Automática,3.0,Pick-Up,0 km
33,Fiat Cronos 1.3 Precision Cvt,$4.000.000,https://auto.mercadolibre.com.ar/MLA-1319266234-fiat-cronos-drive-y-precision-al-mejor-precio-plan-sgast-_JM#position=34&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Fiat,Cronos,2023,1.3 Precision Cvt,Plateado,Nafta,4,Automática,1.3,Sedán,0 km
34,Chevrolet Tracker 1.2 Ltz Turbo At,$7.449.900,https://auto.mercadolibre.com.ar/MLA-1319246318-chevrolet-tracker-ltz-12-t-0-km-2023-entrega-inmediata-hmc-_JM#position=35&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Negro,Nafta,5,Automática,1.2,SUV,0 km
35,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,$9.070.001,https://auto.mercadolibre.com.ar/MLA-1319388878-volkswagen-amarok-20-comfortline-4x2-automatica-at-180cv-01-_JM#position=36&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Comfortline At,Blanco,Diésel,4,Automática,2.0,Pick-Up,0 km
36,Chevrolet Equinox 1.5t Premier 4wd,$14.500.900,https://auto.mercadolibre.com.ar/MLA-1319258837-chevrolet-equinox-premier-15-t-0-km-2023-entrego-ya-hmc-_JM#position=37&search_layout=grid&type=item&tracking_id=e43a95c5-2bc2-433f-9e99-a315b749964b,Chevrolet,Equinox,2023,1.5t Premier 4wd,Blanco,Nafta,5,Automática,1.5,SUV,0 km
