,nombre articulo,precio,link,company,model,year,version,color,fuel,doors,transmisions,motor,bodywork,km
1807,Renault Alaskan 2.3t 16v Confort Mt 4x4,$8.436.000,https://auto.mercadolibre.com.ar/MLA-1148410096-renault-alaskan-confort-4x4-mt-usados-certificados--_JM#position=32&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Renault,ALASKAN,2021,2.3t 16v Confort Mt 4x4,Dorado,Diésel,4,Manual,2.3,Pick-Up,4000 km
1808,Chevrolet Tracker 1.8 Ltz,$5.200.000,https://auto.mercadolibre.com.ar/MLA-1300580511-chevrolet-tracker-18-mt-premier-fwd-full-4x2-_JM#position=33&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Chevrolet,Tracker,2019,1.8 Ltz,Gris,Nafta,5,Manual,1.8,SUV,113759 km
1809,Toyota Hilux 2.8 Cd Srv 177cv 4x4 At,$13.490.000,https://auto.mercadolibre.com.ar/MLA-1147651363-toyota-hilux-28-srv-at-4x4-_JM#position=34&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Toyota,Hilux,2022,2.8 Cd Srv 177cv 4x4 At,Plateado,Diésel,4,Automática,2.8,Pick-Up,1200 km
1810,Fiat Toro 2.0 Volcano 4x4 At,$6.100.000,https://auto.mercadolibre.com.ar/MLA-1265787886-fiat-toro-20-volcano-4x4-at-_JM#position=35&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Fiat,Toro,2016,2.0 Volcano 4x4 At,Plateado,Diésel,4,Automática,2.0,Pick-Up,82000 km
1811,Fiat Pulse 1.3 Drive Gse Cvt,$4.997.000,https://auto.mercadolibre.com.ar/MLA-1143044539-fiat-pulse-13-drive-manules-y-automaticos-joya-u-_JM#position=36&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Fiat,Pulse,2022,1.3 Drive Gse Cvt,Blanco,Nafta,5,Automática,1.3,SUV,1000 km
1812,Fiat Toro 1.8 Freedom,$7.516.200,https://auto.mercadolibre.com.ar/MLA-1311318149--fiat-toro-18-freedom-retirala-con-1954860-o-tu-usado-_JM#position=37&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Fiat,Toro,2021,1.8 Freedom,Rojo,Nafta,4,Automática,1.8,Pick-Up,1000 km
1813,Mercedes-benz Sprinter 2.1 415 Furgon 3665 Te Mixto 4+1,U$S36.000,https://auto.mercadolibre.com.ar/MLA-1231956224-mercedes-benz-sprinter-415-cdi-mixto-41-_JM#position=38&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Mercedes-Benz,Sprinter,2018,2.1 415 Furgon 3665 Te Mixto 4+1,Blanco,Diésel,2,Manual,2.1,Furgón,27000 km
1814,Ford Focus Iii 1.6 S,$3.800.000,https://auto.mercadolibre.com.ar/MLA-1145717923-ford-focus-ill-16-s-_JM#position=39&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Ford,Focus III,2017,1.6 S,Blanco,Nafta,5,Manual,1.6,Hatchback,84000 km
1815,Audi A5 Sportback 2.0 Tfsi 211cv,U$S25.000,https://auto.mercadolibre.com.ar/MLA-1151009021-audi-a5-sportback-20-tfsi-stronic-ln-_JM#position=40&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Audi,A5 Sportback,2012,2.0 Tfsi 211cv,Gris,Nafta,3,Manual,2.0,Hatchback,100000 km
1816,Renault Captur 2.0 Intens Manual,$5.520.000,https://auto.mercadolibre.com.ar/MLA-1132594427-renault-captur-intens-mt-2019-ad558-lu-_JM#position=41&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Renault,Captur,2019,2.0 Intens Manual,Blanco,Nafta,5,Manual,2.0,SUV,41000 km
1817,Toyota Etios 1.5 Xls At,$5.950.000,https://auto.mercadolibre.com.ar/MLA-1318228834-toyota-etios-2022-15-xls-at-_JM#position=42&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Toyota,Etios,2022,1.5 Xls At,Blanco,Nafta,5,Automática,1.5,Hatchback,512 km
1818,Chevrolet Onix 1.4 Ltz 98cv,$3.700.000,https://auto.mercadolibre.com.ar/MLA-1318118715-chevrolet-onix-14l-ltz-manual-gr-_JM#position=43&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Chevrolet,Onix,2016,1.4 Ltz 98cv,Plateado,Nafta,5,Automática,1.4,Hatchback,79000 km
1819,Volkswagen Vento 2.5 Luxury 170cv Tiptronic,$4.400.000,https://auto.mercadolibre.com.ar/MLA-1317821945-volkswagen-vento-2015-25-luxury-170cv-tiptronic-lesbleus-_JM#position=44&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Volkswagen,Vento,2015,2.5 Luxury 170cv Tiptronic,Gris,Nafta,4,Automática,2.5,Sedán,165000 km
1820,Fiat Cronos 1.3 Drive Cvt,$4.000.000,https://auto.mercadolibre.com.ar/MLA-1317449909-fiat-cronos-drive-cvt-_JM#position=45&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Fiat,Cronos,2023,1.3 Drive Cvt,Negro,Nafta,4,Automática,1.3,Sedán,5000 km
1821,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,$4.870.000,https://auto.mercadolibre.com.ar/MLA-1317455187-chevrolet-tarcker-18-ltz-awd-_JM#position=46&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,Plateado,Nafta,5,Automática,1.8,SUV,35500 km
1822,Volkswagen Gol Trend 1.6 Pack I 101cv 3p,$3.000.000,https://auto.mercadolibre.com.ar/MLA-1317532495-volkswagen-gol-trend-2017-16-pack-i-101cv-3p-3000000-_JM#position=47&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Volkswagen,Gol Trend,2017,1.6 Pack I 101cv 3p,Plateado,Nafta,3,Manual,1.6,Hatchback,67000 km
1823,Fiat Cronos 1.3 Gse Drive Pack Conectividad,$4.000.000,https://auto.mercadolibre.com.ar/MLA-1317197414-fiat-cronos-drive-13-8-_JM#position=48&search_layout=grid&type=item&tracking_id=81060d0e-afb9-46b7-8c27-e5d0e7c1372c,Fiat,Cronos,2022,1.3 Gse Drive Pack Conectividad,Gris,Nafta,4,Manual,1.3,Sedán,10000 km
1824,Peugeot 408 2.0 Allure 143cv,$2.950.000,https://auto.mercadolibre.com.ar/MLA-1317195309-peugeot-408-allure-20n-2013-_JM#position=1&search_layout=grid&type=item&tracking_id=e5672499-782d-4b15-b5c5-18b7faf81ca2,Peugeot,408,2013,2.0 Allure 143cv,Gris,Nafta,4,Manual,2.0,Sedán,128442 km
1825,Bmw X3 2.0 Xdrive 28i Xline 245cv,U$S45.900,https://auto.mercadolibre.com.ar/MLA-1316647361-bmw-x3-xdrive-28i-xline-bmw-autopremier-_JM#position=2&search_layout=grid&type=item&tracking_id=e5672499-782d-4b15-b5c5-18b7faf81ca2,BMW,X3,2017,2.0 Xdrive 28i Xline 245cv,Gris,Nafta,5,Automática,2.0,SUV,75800 km
