,company,model,year,fuel,doors,transmisions,motor,bodywork
642,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
643,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up
644,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up
647,Chevrolet,Tracker,2022,Nafta,5,Automática,1.2,SUV
648,RAM,1500,2022,Nafta,4,Automática,5.7,Pick-Up
649,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
650,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
651,Jeep,Renegade,2022,Nafta,5,Manual,1.8,SUV
652,Renault,Sandero Stepway,2022,Nafta,5,Manual,1.6,Hatchback
653,Jeep,Commander,2022,Diésel,5,Automática,2.0,SUV
654,Renault,Kangoo,2022,Nafta,3,Manual,1.6,Furgón
655,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
656,Volkswagen,Vento,2021,Nafta,4,Automática,1.4,Sedán
657,Renault,Master,2022,Diésel,4,Manual,2.3,Monovolumen
658,Ford,Ranger,2022,Diésel,5,Manual,3.2,Pick-Up
659,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
660,Renault,Sandero,2022,Nafta,5,Manual,1.6,Hatchback
661,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
662,Renault,Sandero,2022,Nafta,5,Manual,1.6,Hatchback
663,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
664,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
665,Jeep,Compass,2022,Nafta,5,Automática,1.3,SUV
666,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
667,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
668,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
670,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
671,Nissan,Frontier,2022,Diésel,4,Manual,2.3,Pick-Up
672,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
673,Nissan,Frontier,2022,Diésel,4,Manual,2.3,Pick-Up
674,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
675,Renault,Sandero,2022,Nafta,5,Manual,1.6,Hatchback
676,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
677,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
678,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
681,Nissan,Frontier,2022,Diésel,4,Automática,2.3,Pick-Up
682,Peugeot,208,2022,Nafta,5,Manual,1.6,Hatchback
683,Volkswagen,Taos,2022,Nafta,5,Automática,1.4,SUV
684,Chevrolet,Tracker,2022,Nafta,5,Automática,1.2,SUV
685,Jeep,Compass,2022,Nafta,5,Automática,1.3,SUV
686,Peugeot,208,2022,Nafta,5,Manual,1.2,Hatchback
687,Fiat,Toro,2022,Diésel,4,Automática,2.0,Pick-Up
688,Chevrolet,S10,2022,Diésel,4,Automática,2.8,Pick-Up
689,Chevrolet,S10,2022,Diésel,4,Automática,2.8,Pick-Up
690,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán
691,Volkswagen,Amarok,2023,Diésel,4,Automática,3.0,Pick-Up
692,Chevrolet,Cruze 5,2022,Nafta,5,Automática,1.4,Hatchback
693,Volkswagen,Virtus,2022,Nafta,4,Manual,1.6,Sedán
695,Chevrolet,Cruze 5,2022,Nafta,5,Automática,1.4,Hatchback
696,Peugeot,Partner,2023,Nafta,3,Manual,1.6,Furgón
697,Chevrolet,Tracker,2022,Nafta,5,Automática,1.2,SUV
698,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
699,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
700,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback
701,Peugeot,208,2023,Nafta,5,Manual,1.6,Hatchback
