,company,model,year,fuel,doors,transmisions,motor,bodywork,km
1372,Toyota,SW4,2021,Diésel,5,Automática,2.8,SUV,18000.0
1373,Peugeot,307,2012,Nafta,5,Manual,1.6,Hatchback,89000.0
1374,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,36000.0
1375,Volkswagen,Gol Trend,2014,Nafta,3,Manual,1.6,Hatchback,80000.0
1376,Renault,Mégane II,2006,Nafta,4,Manual,1.6,Sedán,72000.0
1377,Toyota,Hilux,2013,Diésel,4,Manual,2.5,Pick-Up,141000.0
1378,Audi,A1,2018,Nafta,3,Manual,1.4,Hatchback,31000.0
1379,Peugeot,208,2023,Nafta,5,Automática,1.6,Hatchback,500.0
1380,Peugeot,208,2022,Nafta,5,Automática,1.6,Hatchback,1000.0
1381,Renault,Kangoo,2017,Nafta,3,Manual,1.6,Furgón,170000.0
1382,Chevrolet,Cruze,2011,Diésel,4,Manual,2.0,Sedán,120000.0
1383,Jeep,Compass,2022,Nafta,5,Automática,1.3,SUV,333.0
1384,Toyota,Corolla,2020,Nafta,4,Automática,1.8,Sedán,29000.0
1385,Volkswagen,Polo,2018,Nafta,5,Automática,1.6,Hatchback,60000.0
1386,Chevrolet,Cruze II,2018,Nafta,5,Manual,1.4,Hatchback,189737.0
1387,Chevrolet,Prisma,2017,Nafta/GNC,4,Manual,1.4,Sedán,93000.0
1388,Chevrolet,Cruze,2013,Nafta,4,Manual,1.8,Sedán,111795.0
1389,Ford,Mondeo,2019,Nafta,4,Automática,2.0,Sedán,32200.0
1390,Audi,A3,2010,Nafta,3,Manual,1.6,Hatchback,114000.0
1391,Volkswagen,Vento,2010,Diésel,4,Manual,1.9,Sedán,180000.0
1392,Peugeot,301,2017,Nafta,4,Manual,1.6,Sedán,93000.0
1393,Jeep,Compass,2018,Nafta,5,Manual,2.4,SUV,72000.0
1394,Ford,Ecosport,2020,Nafta,5,Automática,1.5,SUV,23800.0
1395,Mercedes-Benz,Clase C,2018,Nafta,4,Automática,3.0,Sedán,70000.0
1396,Volkswagen,Vento,2017,Nafta,4,Manual,1.4,Sedán,87000.0
1397,Toyota,Corolla,2021,Nafta,4,Automática,2.0,Sedán,21000.0
1398,Peugeot,2008,2019,Nafta,5,Manual,1.6,SUV,49000.0
1399,Mercedes-Benz,Clase GLC,2018,Nafta,5,Automática,2.0,SUV,59000.0
1400,Citroën,C5,2004,Diésel,4,Manual,2.0,Sedán,279000.0
1401,Jeep,Compass,2020,Nafta,5,Automática,2.4,SUV,39000.0
1402,Peugeot,208,2013,Nafta,5,Manual,1.6,Hatchback,89000.0
1403,Volkswagen,Amarok,2022,Diésel,4,Automática,2.0,Pick-Up,1111.0
1404,Jeep,Wrangler,2015,Nafta,3,Automática,3.6,SUV,85000.0
1405,Citroën,C3,2017,Nafta,5,Manual,1.6,Hatchback,53000.0
1406,Peugeot,408,2014,Diésel,4,Manual,1.6,Sedán,170000.0
1407,Audi,A5,2012,Nafta,2,Automática,2.0,Coupé,95000.0
1408,Toyota,SW4,2020,Diésel,5,Automática,2.8,SUV,34000.0
1409,Citroën,C4 Lounge,2017,Nafta,4,Automática,1.6,Sedán,100000.0
1410,Ford,Ecosport,2022,Nafta,5,Manual,1.5,SUV,500.0
1411,Honda,Civic,2017,Nafta,3,Manual,2.0,Hatchback,64000.0
1412,Alfa Romeo,Giulia,2019,Nafta,5,Automática,2.0,Sedán,11700.0
1413,Citroën,C3,2022,Nafta,5,Manual,1.2,Hatchback,1000.0
1414,Kia,Carnival,2018,Nafta,5,Automática,2.2,Monovolumen,99000.0
1415,Toyota,CH-R,2020,Híbrido/Nafta,4,Automática,1.8,Hatchback,14794.0
1416,Toyota,CH-R,2020,Híbrido/Nafta,4,Automática,1.8,Hatchback,38909.0
1417,BMW,Serie 3,2014,Nafta,4,Manual,2.0,Sedán,100700.0
1418,Chevrolet,Onix,2017,Nafta,5,Manual,1.4,Hatchback,66700.0
1419,Chevrolet,Cruze II,2018,Nafta,4,Automática,1.4,Sedán,71000.0
1420,Ford,Fiesta Kinetic Design,2016,Nafta,4,Manual,1.6,Sedán,64000.0
1421,Volkswagen,The Beetle,2019,Nafta,3,Manual,1.4,Hatchback,23000.0
1422,Volkswagen,Golf,2015,Nafta,5,Manual,1.4,Hatchback,95000.0
1423,Honda,CR-V,1999,Nafta,5,Automática,2.0,SUV,270000.0
1424,DS,DS7 Crossback,2019,Diésel,5,Automática,2.0,Monovolumen,42500.0
1425,Renault,Duster Oroch,2022,Nafta,4,Manual,1.6,SUV,19000.0
1426,Ford,Ecosport,2014,Nafta/GNC,5,Manual,1.6,SUV,140000.0
1427,Chevrolet,Cruze,2011,Nafta,4,Manual,1.8,Sedán,70000.0
1428,Jeep,Grand Cherokee,2014,Nafta,5,Automática,6.4,SUV,70000.0
1429,Renault,Kwid,2018,Nafta,5,Manual,1.0,Hatchback,66263.0
1430,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,3500.0
1431,Honda,Accord,2008,Nafta,4,Automática,3.5,Sedán,199000.0
1432,Chevrolet,Tracker,2017,Nafta,5,Automática,1.8,SUV,50900.0
1433,Chevrolet,Onix,2018,Nafta,5,Manual,1.4,Hatchback,66000.0
1434,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,2400.0
1435,Chevrolet,Onix,2020,Nafta,5,Manual,1.2,Hatchback,38700.0
1436,Jeep,Compass,2022,Nafta,5,Automática,1.3,SUV,600.0
1437,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,500.0
1438,Volkswagen,Polo,2018,Nafta,5,Automática,1.6,Hatchback,52000.0
1439,Peugeot,208,2014,Nafta,5,Manual,1.5,Hatchback,108000.0
1440,Volkswagen,Taos,2023,Nafta,5,Automática,1.4,SUV,1111.0
1441,Honda,HR-V,2020,Nafta,5,Automática,1.8,SUV,12000.0
1442,Ford,Focus III,2015,Nafta,4,Manual,1.6,Sedán,165000.0
1443,Chevrolet,Onix,2018,Nafta,5,Manual,1.4,Hatchback,116289.0
1444,Chevrolet,Cruze,2018,Nafta,4,Manual,1.8,Sedán,73000.0
1445,Nissan,Note,2019,Nafta,5,Automática,1.6,Hatchback,53000.0
1446,Peugeot,208,2022,Nafta,5,Automática,1.6,Hatchback,1001.0
1447,Peugeot,208,2020,Nafta,5,Manual,1.6,Hatchback,26200.0
1448,Volkswagen,Amarok,2018,Diésel,2,Manual,2.0,Pick-Up,84000.0
1449,Fiat,Pulse,2022,Nafta,5,Manual,1.3,SUV,1000.0
1450,BMW,Serie 3,2019,Nafta,4,Manual,3.0,Sedán,60000.0
1451,Fiat,Toro,2022,Diésel,4,Automática,1.8,Pick-Up,1000.0
1452,Chevrolet,Equinox,2020,Nafta,5,Automática,1.5,SUV,36000.0
1453,Fiat,Cronos,2022,Nafta,4,Automática,1.8,Sedán,10000.0
1454,Mercedes-Benz,Clase GLC,2018,Nafta,5,Automática,2.0,SUV,80000.0
1455,Jeep,Grand Cherokee,2014,Nafta,5,Automática,3.6,SUV,75000.0
1456,Volkswagen,Amarok,2012,Diésel,4,Manual,2.0,Pick-Up,145000.0
1457,Volkswagen,Golf,2016,Nafta,5,Manual,1.6,Hatchback,95000.0
1458,Citroën,Berlingo,2018,Diésel,3,Manual,1.6,Furgón,83500.0
1459,Renault,Duster,2018,Nafta,5,Manual,2.0,SUV,83000.0
1460,Toyota,Corolla,2015,Nafta,4,Manual,1.8,Sedán,93000.0
1461,Peugeot,RCZ,2012,Nafta,2,Manual,1.6,Coupé,41000.0
1462,Renault,Kwid,2018,Nafta,5,Manual,1.0,Hatchback,35500.0
1463,Nissan,Kicks,2018,Nafta,5,Manual,1.6,Hatchback,77000.0
1464,Ford,Focus,2017,Nafta,5,Manual,2.0,Hatchback,10300.0
1465,Ford,Ka,2017,Nafta,4,Manual,1.5,Sedán,90000.0
1466,Volkswagen,Gol Trend,2009,Nafta,5,Manual,1.6,Hatchback,162000.0
1467,Ford,Ecosport,2015,Nafta,5,Manual,1.6,SUV,109300.0
1468,Volkswagen,Amarok,2013,Diésel,4,Manual,2.0,Pick-Up,83000.0
1469,Volkswagen,Golf,2017,Nafta,5,Automática,2.0,Hatchback,50000.0
1470,Dodge,Journey,2010,Nafta,5,Automática,2.7,SUV,150000.0
1471,Peugeot,307,2010,Diésel,5,Manual,2.0,Hatchback,152834.0
1472,Peugeot,5008,2018,Nafta,5,Manual,1.6,Monovolumen,27000.0
1473,Renault,ALASKAN,2022,Diésel,4,Manual,2.3,Pick-Up,1000.0
1474,Chevrolet,Equinox,2021,Nafta,5,Automática,1.5,SUV,12838.0
1475,Ford,Ecosport,2015,Nafta,5,Manual,1.6,SUV,98500.0
1476,Nissan,Versa,2016,Nafta,4,Manual,1.6,Sedán,95050.0
1477,RAM,1500,2017,Nafta,4,Automática,5.7,Pick-Up,88000.0
1478,Renault,Duster,2017,Nafta,5,Manual,2.0,SUV,34500.0
1479,Peugeot,207,2012,Nafta,2,Manual,1.6,Hatchback,100000.0
1480,Peugeot,207,2011,Nafta,5,Manual,1.6,Hatchback,123000.0
1481,Peugeot,308,2013,Nafta,5,Manual,1.6,Hatchback,102000.0
1482,Volkswagen,Gol Trend,2015,Nafta,3,Manual,1.6,Hatchback,135000.0
1483,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,65000.0
1484,Ford,Ka,2018,Nafta,5,Manual,1.5,Hatchback,59000.0
1485,Ford,Ranger,2021,Diésel,4,Manual,3.2,Pick-Up,23000.0
1486,Audi,Q3 Sportback,2020,Nafta,5,Automática,1.4,SUV,35000.0
1487,Fiat,Cronos,2023,Nafta,4,Manual,1.3,Sedán,5000.0
1488,Ford,Mustang,2016,Nafta,2,Manual,5.0,Coupé,25900.0
1489,Peugeot,208,2022,Nafta,5,Manual,1.6,Hatchback,1500.0
1490,Ford,Ecosport,2013,Nafta,5,Manual,1.6,SUV,86000.0
