,company,model,year,fuel,doors,transmisions,motor,bodywork,km
1623,Toyota,SW4,2006,Diésel,5,Automática,3.0,SUV,320000.0
1624,Toyota,Etios,2016,Nafta,5,Manual,1.5,Hatchback,108445.0
1625,Chevrolet,Onix,2018,Nafta,5,Automática,1.4,Hatchback,60000.0
1626,Toyota,Hiace,2022,Diésel,4,Automática,2.8,Minivan,1500.0
1627,Chevrolet,Spin,2017,GNC,5,Manual,1.8,Monovolumen,144732.0
1628,Citroën,Aircross,2013,Nafta,5,Manual,1.6,Hatchback,120000.0
1629,Toyota,Corolla,2018,Nafta,4,Automática,1.8,Sedán,40300.0
1630,Nissan,X-Trail,2022,Nafta,5,Automática,2.5,SUV,6700.0
1631,Toyota,Hilux,2012,Diésel,4,Automática,3.0,Pick-Up,190000.0
1632,Chevrolet,Tracker,2019,Nafta,5,Manual,1.8,SUV,113759.0
1633,Audi,Q5,2011,Nafta,5,Automática,2.0,SUV,125000.0
1634,Renault,Duster,2013,Nafta,5,Manual,2.0,SUV,169497.0
1635,Mercedes-Benz,Clase GLA,2017,Nafta,5,Automática,1.6,SUV,60000.0
1636,Volkswagen,Vento,2015,Nafta,4,Automática,2.5,Sedán,113000.0
1637,Haval,H6,2021,Nafta,5,Automática,2.0,SUV,27000.0
1638,Audi,Q2,2019,Nafta,5,Automática,2.0,SUV,80000.0
1639,Ford,Ranger,2006,Diésel,2,Manual,3.0,Pick-Up,237000.0
1640,Mercedes-Benz,Sprinter,2007,Diésel,2,Manual,2.5,Furgón,277500.0
1641,Toyota,SW4,2017,Diésel,5,Automática,2.8,SUV,118588.0
1642,Jeep,Renegade,2022,Nafta,5,Manual,1.8,SUV,111111.0
1643,Fiat,Pulse,2022,Nafta,5,Automática,1.3,SUV,1000.0
1644,Dodge,Journey,2017,Nafta,5,Automática,2.4,SUV,66700.0
1645,Jeep,Renegade,2022,Nafta,5,Manual,1.8,SUV,1500.0
1646,Jeep,Renegade,2022,Nafta,5,Manual,1.8,SUV,1000.0
1647,Chevrolet,Onix plus,2020,Nafta,4,Manual,1.2,Sedán,40779.0
1648,Volkswagen,Amarok,2021,Diésel,4,Automática,3.0,Pick-Up,47600.0
1649,Volkswagen,Amarok,2022,Diésel,4,Automática,3.0,Pick-Up,1500.0
1650,Toyota,Hilux,2000,Diésel,4,Manual,2.8,Pick-Up,360000.0
1651,Toyota,Hilux,2021,Diésel,4,Manual,2.4,Pick-Up,9000.0
1652,Volkswagen,Gol Trend,2015,Nafta,5,Manual,1.6,Hatchback,189000.0
1653,Fiat,Cronos,2018,Nafta,4,Manual,1.3,Sedán,70000.0
1654,Peugeot,5008,2014,Nafta,5,Manual,1.6,Monovolumen,157000.0
1655,Peugeot,208,2022,Nafta,5,Manual,1.6,Hatchback,1001.0
1656,Peugeot,3008,2019,Diésel,5,Automática,2.0,SUV,1001.0
1657,Volkswagen,Amarok,2022,Diésel,4,Manual,2.0,Pick-Up,1010.0
1658,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,1800.0
1659,Renault,ALASKAN,2021,Diésel,4,Manual,2.3,Pick-Up,4000.0
1660,Chevrolet,Tracker,2019,Nafta,5,Manual,1.8,SUV,113759.0
1661,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,1200.0
1662,Fiat,Toro,2016,Diésel,4,Automática,2.0,Pick-Up,82000.0
1663,Fiat,Pulse,2022,Nafta,5,Automática,1.3,SUV,1000.0
1664,Fiat,Toro,2021,Nafta,4,Automática,1.8,Pick-Up,1000.0
1665,Mercedes-Benz,Sprinter,2018,Diésel,2,Manual,2.1,Furgón,27000.0
1666,Ford,Focus III,2017,Nafta,5,Manual,1.6,Hatchback,84000.0
1667,Audi,A5 Sportback,2012,Nafta,3,Manual,2.0,Hatchback,100000.0
1668,Renault,Captur,2019,Nafta,5,Manual,2.0,SUV,41000.0
1669,Toyota,Etios,2022,Nafta,5,Automática,1.5,Hatchback,512.0
1670,Chevrolet,Onix,2016,Nafta,5,Automática,1.4,Hatchback,79000.0
1671,Volkswagen,Vento,2015,Nafta,4,Automática,2.5,Sedán,165000.0
1672,Fiat,Cronos,2023,Nafta,4,Automática,1.3,Sedán,5000.0
1673,Chevrolet,Tracker,2016,Nafta,5,Automática,1.8,SUV,35500.0
1674,Volkswagen,Gol Trend,2017,Nafta,3,Manual,1.6,Hatchback,67000.0
1675,Fiat,Cronos,2022,Nafta,4,Manual,1.3,Sedán,10000.0
1676,Peugeot,408,2013,Nafta,4,Manual,2.0,Sedán,128442.0
1677,BMW,X3,2017,Nafta,5,Automática,2.0,SUV,75800.0
1678,Citroën,Berlingo,2021,Diésel,3,Manual,1.6,Furgón,41689.0
1679,Fiat,Fiorino,2017,Nafta,3,Manual,1.4,Furgón,75000.0
1680,Renault,Duster,2015,Nafta,5,Manual,1.6,SUV,61000.0
1681,Toyota,Hilux,2014,Diésel,4,Manual,2.5,Pick-Up,153000.0
1682,Toyota,Etios,2017,Nafta,5,Manual,1.5,Hatchback,81000.0
1683,Volkswagen,Amarok,2017,Diésel,4,Automática,2.0,Pick-Up,133000.0
1684,Chevrolet,Classic,2015,Nafta,4,Manual,1.4,Sedán,163142.0
1685,Ford,Ka,2013,Nafta,3,Manual,1.6,Hatchback,28530.0
1686,Jeep,Renegade,2023,Nafta,5,Automática,1.8,SUV,1800.0
1687,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,60000.0
1688,Honda,Fit,2017,Nafta,5,Automática,1.5,Hatchback,94451.0
1689,Ford,Fiesta Kinetic Design,2014,Nafta,5,Manual,1.6,Hatchback,97000.0
1690,Volkswagen,Suran,2014,Nafta,5,Manual,1.6,Monovolumen,82000.0
1691,Chevrolet,Tracker,2015,Nafta,5,Manual,1.8,SUV,72211.0
1692,Chevrolet,Tracker,2017,Nafta,5,Manual,1.8,SUV,88000.0
1693,Audi,A1,2013,Nafta,3,Automática,1.4,Hatchback,69000.0
1694,Renault,Duster,2013,Nafta,5,Manual,2.0,SUV,149400.0
1695,Citroën,DS3,2015,Nafta,3,Manual,1.6,Hatchback,88000.0
1696,Volkswagen,Polo,2018,Nafta,5,Automática,1.6,Hatchback,54000.0
1697,Peugeot,408,2015,Nafta/GNC,4,Manual,2.0,Sedán,157000.0
1698,Chevrolet,Tracker,2013,Nafta,5,Manual,1.8,SUV,87600.0
1699,Jeep,Wrangler,2018,Nafta,3,Automática,3.6,SUV,31500.0
1700,Peugeot,208,2023,Nafta,5,Manual,1.6,Hatchback,1000.0
1701,Jeep,Compass,2019,Nafta,5,Automática,2.4,SUV,58000.0
1702,Ford,Ecosport,2020,Nafta,5,Manual,1.5,SUV,26300.0
1703,Fiat,Mobi,2018,Nafta,5,Manual,1.0,Hatchback,29500.0
1704,Peugeot,Partner,2014,Diésel,3,Manual,1.6,Furgón,167000.0
1705,Ford,Ka,2013,Nafta,3,Manual,1.0,Hatchback,100000.0
1706,Jeep,Renegade,2019,Nafta,5,Automática,1.8,SUV,39000.0
1707,Ford,Focus III,2017,Nafta,5,Automática,2.0,Hatchback,136000.0
1708,Volkswagen,Golf,2015,Nafta,5,Automática,1.4,Hatchback,149000.0
1709,Audi,A1,2013,Nafta,3,Automática,1.4,Hatchback,75000.0
1710,Volkswagen,Gol Trend,2019,Nafta,5,Manual,1.6,Hatchback,50000.0
1711,Nissan,Kicks,2018,Nafta,5,Automática,1.6,Hatchback,89000.0
1712,Volkswagen,Tiguan Allspace,2019,Nafta,5,Automática,1.4,SUV,50000.0
1713,Nissan,Kicks,2019,Nafta,5,Manual,1.6,Hatchback,95000.0
1714,Citroën,C3 Picasso,2013,Nafta,5,Manual,1.6,Hatchback,80000.0
1715,Audi,A3,2013,Nafta,5,Manual,1.4,Hatchback,113200.0
1716,Fiat,Toro,2020,Diésel,4,Automática,2.0,Pick-Up,32000.0
1717,Jeep,Compass,2019,Nafta,5,Automática,2.4,SUV,58423.0
1718,Volkswagen,Golf,2016,Nafta,5,Manual,1.4,Hatchback,103000.0
1719,Chevrolet,Agile,2011,Nafta,5,Manual,1.4,Hatchback,123000.0
1720,Chevrolet,Tracker,2019,Nafta,5,Manual,1.8,SUV,63000.0
1721,Chevrolet,Tracker,2013,Nafta,5,Manual,1.8,SUV,100000.0
1722,Volkswagen,Golf,2013,Nafta,5,Manual,2.0,Hatchback,61000.0
1723,Peugeot,3008,2014,Nafta,5,Manual,1.6,Monovolumen,94358.0
1724,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,42000.0
1725,Toyota,Hilux,2021,Diésel,4,Manual,2.8,Pick-Up,54000.0
1726,Ford,Fiesta Kinetic Design,2015,Nafta,5,Manual,1.6,Hatchback,115120.0
1727,DS,DS3,2016,Nafta,3,Manual,1.6,Hatchback,77600.0
1728,Peugeot,2008,2017,Nafta,5,Automática,1.6,SUV,89400.0
1729,Volkswagen,Polo,2018,Nafta,5,Manual,1.6,Hatchback,53500.0
1730,Toyota,Corolla,2012,Nafta,4,Manual,1.8,Sedán,128500.0
1731,Peugeot,308,2017,Diésel,5,Manual,1.6,Hatchback,147000.0
1732,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,44200.0
1733,Volkswagen,Amarok,2016,Diésel,4,Manual,2.0,Pick-Up,157000.0
1734,Peugeot,308,2012,Nafta,5,Manual,2.0,Hatchback,120000.0
1735,BMW,X1,2017,Nafta,5,Manual,2.0,SUV,85000.0
1736,Citroën,Xsara Picasso,2011,Nafta,5,Manual,2.0,Monovolumen,230000.0
1737,Renault,Sandero Stepway,2022,Nafta,5,Manual,1.6,Hatchback,1111.0
1738,Citroën,C4 Cactus,2019,Nafta,5,Manual,1.6,SUV,54508.0
1739,Citroën,Aircross,2019,Nafta,5,Manual,1.6,Hatchback,50000.0
1740,Toyota,Etios,2022,Nafta,5,Manual,1.5,Hatchback,3000.0
1741,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,41000.0
1742,Peugeot,208,2018,Nafta,5,Manual,1.6,Hatchback,19800.0
1743,Fiat,500,2012,Nafta,3,Manual,1.4,Hatchback,146000.0
1744,Toyota,Etios,2022,Nafta,4,Manual,1.5,Sedán,800.0
1745,Ford,Ka,2019,Nafta,5,Manual,1.5,Hatchback,73000.0
1746,Toyota,Etios,2022,Nafta,5,Automática,1.5,Hatchback,1111.0
1747,Nissan,March,2016,Nafta,5,Manual,1.6,Hatchback,87000.0
1748,Toyota,SW4,2022,Diésel,5,Automática,2.8,SUV,44100.0
1749,Volkswagen,Golf,2018,Nafta,5,Automática,1.4,Hatchback,77000.0
1750,Peugeot,208,2018,Nafta,5,Manual,1.6,Hatchback,55000.0
1752,Hyundai,Tucson,2013,Nafta,5,Automática,2.0,SUV,221000.0
1753,Peugeot,308,2014,Nafta,5,Manual,1.6,Hatchback,74901.0
1754,Chevrolet,Cruze,2018,Nafta,4,Manual,1.4,Sedán,87000.0
1755,RAM,1500,2016,Nafta,4,Automática,5.7,Pick-Up,96000.0
1756,Peugeot,2008,2018,Nafta,5,Manual,1.6,SUV,90000.0
1757,Honda,HR-V,2017,Nafta,5,Automática,1.8,SUV,40000.0
1758,BMW,Serie 3,2007,Nafta,2,Automática,3.0,Coupé,73000.0
1759,Citroën,C3,2011,Nafta,5,Manual,1.6,Hatchback,157950.0
1760,Renault,Duster,2018,Nafta,5,Manual,1.6,SUV,57000.0
1761,Chevrolet,Tracker,2016,Nafta,5,Automática,1.8,SUV,73000.0
1762,Toyota,Etios,2016,Nafta,4,Manual,1.5,Sedán,90000.0
1763,Toyota,RAV4,2013,Nafta,5,Automática,2.4,SUV,145000.0
1764,Renault,Kangoo,2015,Nafta/GNC,5,Manual,1.6,Furgón,139000.0
1765,Fiat,Fiorino,2017,Nafta/GNC,3,Manual,1.4,Furgón,74000.0
1766,Renault,Duster,2012,Nafta,5,Manual,1.6,SUV,105000.0
1767,Citroën,C5 Aircross,2022,Nafta,5,Automática,1.6,SUV,1111.0
1768,Chevrolet,Classic,2016,Nafta/GNC,4,Manual,1.4,Sedán,79000.0
1769,Volkswagen,Gol Trend,2011,Nafta,5,Manual,1.6,Hatchback,90000.0
1770,Renault,Sandero Stepway,2018,Nafta,5,Manual,1.6,Hatchback,61000.0
1771,Chevrolet,Tracker,2017,Nafta,5,Manual,1.8,SUV,110754.0
1772,Ford,Fiesta Kinetic Design,2016,Nafta,5,Manual,1.6,Hatchback,72700.0
1773,Kia,Sportage,2009,Diésel,5,Manual,2.0,SUV,144637.0
1774,Toyota,Hilux,2022,Diésel,4,Automática,2.8,Pick-Up,1000.0
1775,Ford,Ranger,2021,Diésel,4,Automática,3.2,Pick-Up,24000.0
1776,Peugeot,3008,2016,Diésel,5,Automática,2.0,Monovolumen,60000.0
1777,Ford,Fiesta,2010,Nafta,4,Manual,1.6,Sedán,178000.0
1778,Toyota,Corolla,2015,Nafta,4,Automática,1.8,Sedán,143000.0
1779,Toyota,Corolla,2014,Nafta,4,Manual,1.8,Sedán,114405.0
1780,Chevrolet,S10,2013,Diésel,4,Manual,2.8,Pick-Up,148500.0
1781,Audi,A1,2018,Nafta,4,Automática,1.4,Hatchback,87000.0
1782,Volkswagen,Up!,2015,Nafta,3,Manual,1.0,Hatchback,92000.0
1783,Fiat,500,2012,Nafta,3,Manual,1.4,Hatchback,92000.0
1784,Peugeot,3008,2010,Nafta,5,Manual,1.6,Monovolumen,124000.0
1785,Ford,Ecosport,2017,Nafta,5,Manual,1.5,SUV,66350.0
1786,Volkswagen,Bora,2014,Nafta,4,Automática,1.8,Sedán,55000.0
1787,Toyota,Hilux,2020,Diésel,4,Automática,2.8,Pick-Up,80000.0
1788,Fiat,Argo,2019,Nafta,5,Manual,1.3,Hatchback,54000.0
1789,Peugeot,208,2017,Nafta,5,Manual,1.6,Hatchback,89000.0
1790,Volkswagen,Passat,2013,Nafta,4,Automática,2.0,Sedán,80000.0
1791,Ford,Transit,2022,Diésel,2,Manual,2.2,Furgón,111111.0
1792,Hyundai,Tucson,2018,Nafta,5,Manual,2.0,SUV,70000.0
1793,Renault,Duster Oroch,2016,Nafta,4,Manual,2.0,SUV,141664.0
1794,Volkswagen,Vento,2014,Nafta,4,Manual,2.5,Sedán,109000.0
1795,Volkswagen,Amarok,2018,Diésel,4,Automática,3.0,Pick-Up,58000.0
1796,Fiat,Cronos,2019,Nafta,4,Manual,1.3,Sedán,63000.0
1797,Peugeot,207,2013,Nafta,3,Manual,1.4,Hatchback,137000.0
1798,Mercedes-Benz,Clase GLB,2022,Nafta,5,Automática,2.0,SUV,1111.0
1799,Fiat,Fiorino,2022,Nafta,3,Manual,1.4,Furgón,1000.0
1800,Kia,Sportage,2017,Diésel,5,Manual,2.0,SUV,84200.0
1801,Volkswagen,Amarok,2015,Diésel,4,Manual,2.0,Pick-Up,128000.0
1802,Toyota,Hilux,2019,Diésel,4,Manual,2.8,Pick-Up,10000.0
1803,BMW,Serie 3,2012,Nafta,2,Manual,3.0,Coupé,100000.0
1804,Volkswagen,Amarok,2021,Diésel,4,Automática,3.0,Pick-Up,70199.0
1805,Renault,Kwid,2019,Nafta,5,Manual,1.0,Hatchback,38974.0
1806,Renault,Kwid,2019,Nafta,5,Manual,1.0,Hatchback,38974.0
1807,Volkswagen,Bora,2007,Nafta,4,Manual,2.0,Sedán,120000.0
